adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/91wcqNBLHhKWBIhMknG4qa6ejxE.jpg,"[12, 28, 18]",845111,fr,Les trois mousquetaires : Milady,"D'Artagnan, on a quest to rescue the abducted Constance, runs into the mysterious Milady de Winter again. The tension between the Catholics and the Protestants finally escalates, as the king declares war — forcing the now four musketeers into battle. But as the war goes on, they are tested physically, mentally and emotionally.",250.369,/rtosxP5sXuoRFPH4sVbMccLIPiV.jpg,2023-12-13,The Three Musketeers: Milady,False,6.469,434
False,/uUCij548JeREaZeWQ9HX4IlK8sE.jpg,"[28, 12, 53]",9802,en,The Rock,"When vengeful General Francis X. Hummel seizes control of Alcatraz Island and threatens to launch missiles loaded with deadly chemical weapons into San Francisco, only a young FBI chemical weapons expert and notorious Federal prisoner have the stills to penetrate the impregnable island fortress and take him down.",250.009,/j5mxLNWjUlXUUk8weFBtnF4afIR.jpg,1996-06-07,The Rock,False,7.13,4505
False,/uaSIzbRfwLidxRNMvdZAUwW3vtL.jpg,"[28, 14, 10752]",856289,zh,封神第一部：朝歌风云,"Based on the most well-known classical fantasy novel of China, Fengshenyanyi, the trilogy is a magnificent eastern high fantasy epic that recreates the prolonged mythical wars between humans, immortals and monsters, which happened more than three thousand years ago.",249.62,/1v5ZteB49M0RUGYrf9R37Mz8yo2.jpg,2023-07-20,Creation of the Gods I: Kingdom of Storms,False,7.124,266
False,/14QbnygCuTO0vl7CAFmPf1fgZfV.jpg,"[28, 12, 878]",634649,en,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",249.596,/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,2021-12-15,Spider-Man: No Way Home,False,7.966,19458
False,/5YZbUmjbMa3ClvSW1Wj3D6XGolb.jpg,"[878, 12, 28]",447365,en,Guardians of the Galaxy Vol. 3,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",247.675,/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg,2023-05-03,Guardians of the Galaxy Vol. 3,False,7.974,6318
False,/BgBXBqAukHxt6WKb7Iw49LW0DW.jpg,"[28, 9648, 53, 27, 80, 18]",935999,en,Hounded,A stately home robbery takes an evil turn one night when a gang of young thieves are caught by the owners of the house and then hunted across the estate for the proprietor's entertainment.,246.79,/cdVz9dUv2YvNQil4svLAiUTuY28.jpg,2022-10-21,Hunted,False,5.4,32
False,/dlz8uzyl9mHPyHXbveXutzpx8jI.jpg,"[18, 878]",264660,en,Ex Machina,"Caleb, a coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",246.559,/aeJS3OXnp7d17QSoMdglZERwCkM.jpg,2015-01-21,Ex Machina,False,7.573,12899
False,/cZmOrIOkJ2SNfVdiO85dUbOAYnL.jpg,"[16, 18]",1012201,ja,劇場版ハイキュー!! ゴミ捨て場の決戦,"Shoyo Hinata joins Karasuno High's volleyball club to be like his idol, a former Karasuno player known as the 'Little Giant'. But Hinata soon learns that he must team up with his middle school nemesis, Tobio Kageyama. Their clashing styles form a surprising weapon, but can their newfound teamwork defeat their rival Nekoma High in the highly anticipated 'Dumpster Battle', the long awaited ultimate showdown between two opposing underdog teams?",246.357,/ntRU0OA4etGGiMMmH1Yw0bnaMdW.jpg,2024-02-16,HAIKYU!! The Dumpster Battle,False,7.8,21
False,/ilK1JRbMjo4sMJtNKLOKnqRf1RH.jpg,"[10752, 28, 36]",976906,en,Spitfire Over Berlin,"August 1944. With the American Eighth Air Force poised to strike over Nazi Germany, British Intelligence learns that they could be flying into a deadly trap. With only hours to spare, Flight Lieutenant Edward Barnes must fly a life and death mission over Berlin in his unarmed Spitfire to obtain photographic evidence and save the lives of 1200 men.",245.878,/xtPPOPTad1qopK6uDe3VlYUa22o.jpg,2022-05-13,Spitfire Over Berlin,False,5.014,36
False,/5GynP6w2OQWSbKnCLHrBIriF4Cw.jpg,"[18, 35, 80]",540901,en,Hustlers,A crew of savvy former strip club employees band together to turn the tables on their Wall Street clients.,244.613,/zBhv8rsLOfpFW2M5b6wW78Uoojs.jpg,2019-09-12,Hustlers,False,6.478,2855
False,/uzvT6tYrU5SxfHe1ieimIGAqyFm.jpg,"[18, 53, 80]",473033,en,Uncut Gems,"A charismatic New York City jeweler always on the lookout for the next big score makes a series of high-stakes bets that could lead to the windfall of a lifetime. Howard must perform a precarious high-wire act, balancing business, family, and encroaching adversaries on all sides in his relentless pursuit of the ultimate win.",244.502,/6XN1vxHc7kUSqNWtaQKN45J5x2v.jpg,2019-08-30,Uncut Gems,False,7.151,4552
False,/4OwkbRacTGBkHRehVbmtsLoV84u.jpg,"[27, 14, 28, 9648]",1034751,es,Vampiras: The Brides,"After more than 300 years in hiding, Dracula's brides, Luna, Adriana and his new apprentice Katya, must team up once again to stop the most diabolical threat from their past, his sister Mina.",244.283,/vGl6JzSvwfTllfw4UZ9MD8nD42Y.jpg,2024-02-07,Vampiras: The Brides,False,6.4,18
